node,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,component_id,component_size,unique_neighbours,new_neighbour_ratio,is_bridge,community_id,degree_rank,anomaly_score,anomaly_label,reason_flagged
Router,6,0.2,0.4095785441,0.2890710383,0,0.0739079422,0,1,24,6,0.1666666667,1,0,1,0.875,1,Very high degree; Very high betweenness; Isolated bridge
PC21,2,0.0666666667,0.0965517241,0.22320675110000002,0,0.029649794700000003,0,1,24,2,1.0,1,2,3,0.45250701590000003,0,Within expected behavior
PC22,2,0.0666666667,0.0505747126,0.1781144781,0,0.0337415332,0,1,24,2,1.0,1,2,3,0.4132179607,0,Within expected behavior
Server7,2,0.0666666667,0.0022988506,0.0666666667,0,0.047077049100000004,0,3,3,2,1.0,1,6,3,0.3719644528,0,Within expected behavior
PC18,1,0.033333333300000004,0.0,0.044444444400000005,0,0.024848572200000002,0,3,3,1,1.0,1,6,4,0.30000000000000004,0,Within expected behavior
PC19,1,0.033333333300000004,0.0,0.044444444400000005,0,0.024848572200000002,0,3,3,1,1.0,1,6,4,0.30000000000000004,0,Within expected behavior
Server8,1,0.033333333300000004,0.0,0.1457300275,0,0.0191791841,0,1,24,1,1.0,1,2,4,0.30000000000000004,0,Within expected behavior
PC2,3,0.1,0.1132183908,0.23511111110000002,0,0.0384805648,0,1,24,3,0.33333333330000003,0,0,2,0.2867492984,0,Within expected behavior
PC1,3,0.1,0.0743295019,0.23511111110000002,0,0.0374411723,0,1,24,3,0.33333333330000003,0,0,2,0.2535173059,0,Within expected behavior
PC20,2,0.0666666667,0.0049808429,0.1937728938,0,0.026349223,0,1,24,2,1.0,0,0,3,0.2242563143,0,Within expected behavior
Server6,2,0.0666666667,0.0011494253,0.075,0,0.0322580645,0,2,4,2,1.0,0,5,3,0.2209822264,0,Within expected behavior
Server1,3,0.1,0.0756704981,0.1981273408,0,0.0385863065,0,1,24,3,0.0,0,0,2,0.2046632367,0,Within expected behavior
PC6,2,0.0666666667,0.1528735632,0.2415525114,0,0.028006814100000003,0,1,24,2,0.0,0,0,3,0.20063610850000002,0,Within expected behavior
PC14,2,0.0666666667,0.1528735632,0.2415525114,0,0.028006814100000003,0,1,24,2,0.0,0,4,3,0.20063610850000002,0,Within expected behavior
Server3,2,0.0666666667,0.1252873563,0.2074509804,0,0.0298757355,0,1,24,2,0.0,0,3,3,0.1770626754,0,Within expected behavior
Server5,2,0.0666666667,0.1252873563,0.2074509804,0,0.0298757355,0,1,24,2,0.0,0,4,3,0.1770626754,0,Within expected behavior
PC8,2,0.0666666667,0.0977011494,0.1817869416,0,0.0309052745,0,1,24,2,0.0,0,3,3,0.1534892423,0,Within expected behavior
PC13,2,0.0666666667,0.0977011494,0.1817869416,0,0.0309052745,0,1,24,2,0.0,0,4,3,0.1534892423,0,Within expected behavior
PC16,2,0.0666666667,0.0011494253,0.075,0,0.0322580645,0,2,4,2,0.5,0,5,3,0.1459822264,0,Within expected behavior
PC17,2,0.0666666667,0.0011494253,0.075,0,0.0322580645,0,2,4,2,0.5,0,5,3,0.1459822264,0,Within expected behavior
PC7,2,0.0666666667,0.0701149425,0.16177370030000002,0,0.031455940700000004,0,1,24,2,0.0,0,3,3,0.1299158091,0,Within expected behavior
PC11,2,0.0666666667,0.0701149425,0.16177370030000002,0,0.031455940700000004,0,1,24,2,0.0,0,4,3,0.1299158091,0,Within expected behavior
PC4,2,0.0666666667,0.0572796935,0.1937728938,0,0.0281698308,0,1,24,2,0.0,0,0,3,0.1189476146,0,Within expected behavior
PC10,2,0.0666666667,0.047892720300000004,0.229004329,0,0.026242430100000002,0,1,24,2,0.0,0,0,3,0.11092609910000001,0,Within expected behavior
PC9,2,0.0666666667,0.0425287356,0.1457300275,0,0.0317248953,0,1,24,2,0.0,0,3,3,0.106342376,0,Within expected behavior
PC12,2,0.0666666667,0.0425287356,0.1457300275,0,0.0317248953,0,1,24,2,0.0,0,3,3,0.106342376,0,Within expected behavior
PC3,2,0.0666666667,0.0358237548,0.1679365079,0,0.0282051816,0,1,24,2,0.0,0,1,3,0.1006127222,0,Within expected behavior
Server4,2,0.0666666667,0.0287356322,0.1325814536,0,0.0318042874,0,1,24,2,0.0,0,3,3,0.0945556595,0,Within expected behavior
Server2,2,0.0666666667,0.0206896552,0.1647975078,0,0.029244574000000002,0,1,24,2,0.0,0,1,3,0.0876800749,0,Within expected behavior
PC5,2,0.0666666667,0.0099616858,0.1457300275,0,0.0292542034,0,1,24,2,0.0,0,1,3,0.07851262860000001,0,Within expected behavior
PC15,2,0.0666666667,0.0011494253,0.075,0,0.0322580645,0,2,4,2,0.0,0,5,3,0.0709822264,0,Within expected behavior
