source,destination,timestamp,protocol
147.32.84.209,147.32.80.9,2011-08-17 12:42:50.451879,UDP
147.32.84.165,217.115.95.242,2011-08-17 14:30:56.908279,TCP
147.32.84.165,87.248.203.253,2011-08-17 14:31:19.461307,TCP
147.32.84.165,109.104.178.89,2011-08-17 14:33:00.047067,TCP
147.32.84.165,209.191.88.254,2011-08-17 14:36:56.445823,TCP
147.32.84.165,147.32.80.9,2011-08-17 14:37:49.612027,UDP
147.32.84.165,147.32.80.9,2011-08-17 14:38:38.720888,UDP
147.32.80.9,147.32.84.165,2011-08-17 14:39:56.223605,UDP
147.32.84.165,147.32.80.9,2011-08-17 14:40:41.229708,UDP
147.32.84.165,217.196.89.7,2011-08-17 14:42:54.950986,TCP
147.32.84.165,74.6.140.64,2011-08-17 14:43:04.465185,TCP
147.32.84.165,147.32.80.9,2011-08-17 14:43:51.233213,UDP
147.32.84.191,77.64.164.211,2011-08-17 14:44:12.792920,TCP
147.32.80.9,147.32.84.165,2011-08-17 14:44:36.597165,UDP
147.32.80.9,147.32.84.165,2011-08-17 14:44:36.792310,UDP
147.32.84.191,196.0.35.154,2011-08-17 14:44:39.552547,TCP
147.32.84.165,147.32.80.9,2011-08-17 14:44:54.025429,UDP
147.32.84.165,147.32.80.9,2011-08-17 14:46:16.695611,UDP
147.32.84.165,147.32.80.9,2011-08-17 14:46:26.661093,UDP
147.32.80.9,147.32.84.165,2011-08-17 14:46:56.392151,UDP
147.32.84.165,195.113.232.96,2011-08-17 14:47:11.154669,TCP
147.32.84.165,74.125.232.220,2011-08-17 14:47:36.215650,TCP
147.32.84.165,147.32.80.9,2011-08-17 14:48:13.610482,UDP
147.32.84.165,163.117.136.210,2011-08-17 14:48:18.075746,TCP
147.32.84.165,12.15.146.28,2011-08-17 14:49:12.844739,TCP
147.32.84.165,147.32.80.9,2011-08-17 14:50:38.941722,UDP
147.32.84.165,85.13.242.172,2011-08-17 14:51:36.002369,TCP
147.32.84.192,74.117.116.125,2011-08-17 14:52:00.754058,TCP
147.32.84.165,147.32.80.9,2011-08-17 14:52:09.451623,UDP
147.32.80.9,147.32.84.165,2011-08-17 14:52:16.983889,UDP
147.32.84.165,147.32.80.9,2011-08-17 14:52:26.749456,UDP
147.32.84.165,147.32.80.9,2011-08-17 14:54:02.271088,UDP
147.32.84.191,147.32.80.9,2011-08-17 14:54:43.425158,UDP
147.32.84.165,147.32.80.9,2011-08-17 14:54:44.331372,UDP
147.32.84.165,147.32.80.9,2011-08-17 14:54:57.540465,UDP
147.32.84.192,147.32.80.9,2011-08-17 14:55:10.891298,UDP
147.32.84.191,77.238.167.32,2011-08-17 14:55:15.543164,TCP
147.32.84.165,130.94.230.170,2011-08-17 14:56:26.796638,TCP
147.32.84.204,79.114.154.144,2011-08-17 14:57:01.294559,TCP
147.32.84.165,147.32.80.9,2011-08-17 14:57:25.949000,UDP
147.32.84.204,182.6.228.74,2011-08-17 14:57:28.273048,TCP
147.32.84.165,95.58.128.164,2011-08-17 14:57:28.686156,TCP
147.32.84.193,147.32.80.9,2011-08-17 14:57:38.097011,UDP
147.32.84.192,46.4.36.120,2011-08-17 14:57:39.038715,TCP
147.32.84.191,66.180.96.27,2011-08-17 14:57:47.780599,TCP
147.32.84.165,147.32.80.9,2011-08-17 14:58:10.994213,UDP
147.32.84.205,147.32.80.9,2011-08-17 14:58:28.931513,UDP
147.32.84.191,67.222.3.225,2011-08-17 14:58:38.416616,TCP
147.32.84.205,123.101.86.207,2011-08-17 14:58:50.217075,TCP
147.32.84.191,24.40.8.248,2011-08-17 14:58:59.885888,TCP
147.32.84.193,217.163.21.36,2011-08-17 14:59:10.481330,TCP
