source,destination,timestamp,protocol
192.168.2.5,31.31.74.35,2018-05-19 19:00:07.958986,UDP
192.168.2.5,31.31.74.35,2018-05-19 19:02:22.959677,UDP
192.168.2.5,37.157.198.150,2018-05-19 19:02:25.959696,UDP
192.168.2.5,37.157.198.150,2018-05-19 19:03:33.960059,UDP
192.168.2.5,78.108.102.237,2018-05-19 19:04:38.960209,UDP
192.168.2.5,31.31.74.35,2018-05-19 19:05:40.960402,UDP
192.168.2.5,31.31.74.35,2018-05-19 19:06:47.960478,UDP
192.168.2.5,31.31.74.35,2018-05-19 19:10:12.960837,UDP
192.168.2.5,37.157.198.150,2018-05-19 19:11:25.960870,UDP
192.168.2.5,37.157.198.150,2018-05-19 19:14:48.958715,UDP
192.168.2.5,31.31.74.35,2018-05-19 19:15:46.957640,UDP
192.168.2.5,78.108.102.237,2018-05-19 19:16:59.956466,UDP
192.168.2.5,121.135.83.197,2018-05-19 19:19:27.388335,TCP
192.168.2.5,5.1.56.123,2018-05-19 19:19:50.954126,UDP
192.168.2.5,121.188.214.93,2018-05-19 19:20:19.469373,TCP
192.168.2.5,121.63.169.214,2018-05-19 19:21:47.600224,TCP
192.168.2.5,31.31.74.35,2018-05-19 19:22:33.952827,UDP
192.168.2.5,78.108.102.237,2018-05-19 19:22:37.952761,UDP
192.168.2.5,121.12.151.192,2018-05-19 19:22:43.681564,TCP
192.168.2.5,31.31.74.35,2018-05-19 19:23:39.952282,UDP
192.168.2.5,121.152.192.96,2018-05-19 19:23:42.765185,TCP
192.168.2.5,5.1.56.123,2018-05-19 19:24:18.952012,UDP
58.160.248.136,192.168.2.5,2018-05-19 19:24:32.162334,ICMP
192.168.2.5,37.157.198.150,2018-05-19 19:24:53.951721,UDP
192.168.2.5,31.31.74.35,2018-05-19 19:25:53.951269,UDP
192.168.2.5,78.108.102.237,2018-05-19 19:27:06.950618,UDP
192.168.2.5,31.31.74.35,2018-05-19 19:29:12.950744,UDP
192.168.2.5,78.108.102.237,2018-05-19 19:29:19.950825,UDP
192.168.2.5,37.157.198.150,2018-05-19 19:29:24.950917,UDP
192.168.2.5,78.108.102.237,2018-05-19 19:30:27.951161,UDP
192.168.2.5,121.196.244.247,2018-05-19 19:33:15.597735,TCP
192.168.2.5,5.1.56.123,2018-05-19 19:34:27.952557,UDP
192.168.2.5,121.161.56.60,2018-05-19 19:34:55.742631,TCP
192.168.2.5,121.98.196.234,2018-05-19 19:35:31.803411,TCP
192.168.2.5,37.157.198.150,2018-05-19 19:38:17.953203,UDP
192.168.2.5,78.108.102.237,2018-05-19 19:40:28.953329,UDP
192.168.2.5,37.157.198.150,2018-05-19 19:40:30.953265,UDP
192.168.2.5,78.108.102.237,2018-05-19 19:42:43.953189,UDP
203.233.12.234,192.168.2.5,2018-05-19 19:46:27.096548,ICMP
192.168.2.5,121.25.248.74,2018-05-19 19:47:07.825600,TCP
192.168.2.5,121.199.3.127,2018-05-19 19:48:55.981290,TCP
192.168.2.5,78.108.102.237,2018-05-19 19:49:16.952306,UDP
192.168.2.5,121.93.53.5,2018-05-19 19:50:35.129596,TCP
192.168.2.5,121.232.125.149,2018-05-19 19:51:04.174922,TCP
192.168.2.5,5.1.56.123,2018-05-19 19:52:05.951707,UDP
192.168.2.5,121.2.2.200,2018-05-19 19:52:58.340122,TCP
192.168.2.5,121.169.123.68,2018-05-19 19:53:34.395397,TCP
192.168.2.5,78.108.102.237,2018-05-19 19:53:36.951521,UDP
192.168.2.5,121.169.104.35,2018-05-19 19:55:30.572492,TCP
192.168.2.5,31.31.74.35,2018-05-19 19:55:31.952149,UDP
192.168.2.5,121.109.113.52,2018-05-19 19:57:41.761978,TCP
192.168.2.5,121.172.218.50,2018-05-19 19:59:06.882830,TCP
192.168.2.5,121.10.116.144,2018-05-19 19:59:18.995102,TCP
192.168.2.5,121.153.74.76,2018-05-19 19:59:20.903063,TCP
192.168.2.5,121.172.216.169,2018-05-19 19:59:31.924106,TCP
211.53.161.18,192.168.2.5,2018-05-19 19:59:44.257280,ICMP
192.168.2.5,121.175.148.214,2018-05-19 20:03:05.243307,TCP
192.168.2.5,37.157.198.150,2018-05-19 20:04:35.954798,UDP
192.168.2.5,121.171.11.28,2018-05-19 20:04:48.391912,TCP
192.168.2.5,121.146.35.41,2018-05-19 20:08:28.712875,TCP
192.168.2.5,121.33.24.104,2018-05-19 20:09:30.802310,TCP
192.168.2.5,121.167.250.219,2018-05-19 20:09:33.809167,TCP
192.168.2.5,121.63.3.123,2018-05-19 20:10:21.883289,TCP
192.168.2.5,31.31.74.35,2018-05-19 20:10:52.955683,UDP
192.168.2.5,31.31.74.35,2018-05-19 20:13:06.956381,UDP
59.146.160.68,192.168.2.5,2018-05-19 20:13:25.433669,ICMP
192.168.2.5,5.1.56.123,2018-05-19 20:14:05.956639,UDP
192.168.2.5,37.157.198.150,2018-05-19 20:19:53.957055,UDP
192.168.2.5,37.157.198.150,2018-05-19 20:26:32.957475,UDP
192.168.2.5,37.157.198.150,2018-05-19 20:28:47.957936,UDP
192.168.2.1,192.168.2.5,2018-05-19 20:58:56.789436,TCP
192.168.2.5,37.157.198.150,2018-05-19 20:59:31.682902,UDP
192.168.2.5,200.168.87.203,2018-05-19 21:11:58.420811,TCP
69.61.56.34,192.168.2.5,2018-05-19 21:15:14.790770,ICMP
192.168.2.5,69.26.105.57,2018-05-19 21:17:25.103993,TCP
192.168.2.5,69.147.248.89,2018-05-19 21:18:12.172104,TCP
69.8.169.28,192.168.2.5,2018-05-19 21:23:55.827313,ICMP
24.29.148.82,192.168.2.5,2018-05-19 21:25:00.903503,ICMP
4.16.255.78,192.168.2.5,2018-05-19 21:27:12.972722,ICMP
64.111.83.138,192.168.2.5,2018-05-19 21:29:51.916556,ICMP
69.119.84.8,192.168.2.5,2018-05-19 21:31:24.780031,ICMP
192.168.2.5,69.215.155.19,2018-05-19 21:32:54.782127,TCP
69.43.209.71,192.168.2.5,2018-05-19 21:50:49.361575,ICMP
192.168.2.5,69.12.90.212,2018-05-19 21:51:01.216909,TCP
192.168.2.5,69.229.203.192,2018-05-19 21:51:12.227660,TCP
192.168.2.5,69.199.169.42,2018-05-19 21:51:36.268590,TCP
192.168.2.5,69.13.109.67,2018-05-19 21:57:16.777444,TCP
192.168.2.5,37.157.198.150,2018-05-19 22:00:58.860045,UDP
192.168.2.5,69.159.29.21,2018-05-19 22:02:25.251306,TCP
192.168.2.5,69.2.54.25,2018-05-19 22:05:22.516039,TCP
192.168.2.5,69.180.205.7,2018-05-19 22:10:45.114649,TCP
192.168.2.5,31.31.74.35,2018-05-19 22:11:08.968195,UDP
192.168.2.5,69.156.7.123,2018-05-19 22:11:15.160946,TCP
192.168.2.5,69.232.21.26,2018-05-19 22:12:12.241364,TCP
192.168.2.5,78.108.102.237,2018-05-19 22:13:45.967688,UDP
192.168.2.5,37.157.198.150,2018-05-19 22:26:54.965975,UDP
192.168.2.5,31.31.74.35,2018-05-19 22:28:59.965674,UDP
192.168.2.5,37.157.198.150,2018-05-19 22:35:36.964684,UDP
192.168.2.5,5.1.56.123,2018-05-19 22:36:41.964589,UDP
192.168.2.5,78.108.102.237,2018-05-19 22:48:50.963311,UDP
192.168.2.5,200.168.87.203,2018-05-19 22:59:48.460950,TCP
192.168.2.5,31.31.74.35,2018-05-19 23:03:51.962774,UDP
192.168.2.5,31.27.9.237,2018-05-19 23:15:11.829106,TCP
192.168.2.5,31.74.31.82,2018-05-19 23:16:07.918888,TCP
192.168.2.5,31.41.94.202,2018-05-19 23:17:10.011345,TCP
192.168.2.5,31.100.232.124,2018-05-19 23:17:56.077143,TCP
81.18.220.195,192.168.2.5,2018-05-19 23:22:32.631199,ICMP
31.16.67.18,192.168.2.5,2018-05-19 23:26:00.877093,ICMP
192.168.2.5,31.47.41.149,2018-05-19 23:26:55.909653,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:27:52.002012,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:28:25.999877,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:28:29.355743,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:28:55.946157,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:29:01.493693,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:29:04.036998,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:29:19.625063,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:29:28.387028,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:29:34.706083,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:30:53.545336,TCP
192.168.2.5,200.168.87.203,2018-05-19 23:31:18.228405,TCP
192.168.2.5,31.45.81.77,2018-05-19 23:31:21.314659,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:31:29.372768,TCP
192.168.2.5,31.43.155.196,2018-05-19 23:31:42.619357,TCP
31.150.237.108,192.168.2.5,2018-05-19 23:32:01.532423,ICMP
192.168.2.5,31.151.46.118,2018-05-19 23:32:24.409585,TCP
192.168.2.5,31.67.213.29,2018-05-19 23:39:15.026791,TCP
192.168.2.5,200.168.87.203,2018-05-19 23:44:30.947692,TCP
192.168.2.5,31.77.15.103,2018-05-19 23:44:54.528208,TCP
31.16.92.208,192.168.2.5,2018-05-19 23:45:12.684957,ICMP
192.168.2.5,31.239.61.38,2018-05-19 23:45:18.569543,TCP
94.82.233.217,192.168.2.5,2018-05-19 23:46:35.689032,ICMP
192.168.2.5,200.168.87.203,2018-05-19 23:47:42.136640,TCP
192.168.2.5,31.20.9.149,2018-05-19 23:49:30.938612,TCP
192.168.2.5,31.57.27.161,2018-05-19 23:55:52.529276,TCP
192.168.2.5,31.144.55.191,2018-05-19 23:58:37.791067,TCP
192.168.2.5,31.168.214.125,2018-05-20 00:04:29.210988,TCP
192.168.2.5,31.129.185.22,2018-05-20 00:07:18.579130,TCP
31.150.43.31,192.168.2.5,2018-05-20 00:09:51.845459,ICMP
192.168.2.5,31.214.191.251,2018-05-20 00:14:31.233846,TCP
192.168.2.5,31.31.74.35,2018-05-20 00:41:10.964952,UDP
192.168.2.5,200.168.87.203,2018-05-20 01:15:21.103090,TCP
192.168.2.5,32.191.51.125,2018-05-20 01:36:42.794581,TCP
192.168.2.5,32.38.29.117,2018-05-20 01:42:42.365325,TCP
192.168.2.5,32.154.204.165,2018-05-20 01:48:07.861188,TCP
192.168.2.5,32.218.241.143,2018-05-20 01:50:14.060817,TCP
192.168.2.5,32.113.63.203,2018-05-20 02:04:02.327635,TCP
192.168.2.5,32.104.49.241,2018-05-20 02:05:03.436484,TCP
192.168.2.5,32.60.35.193,2018-05-20 02:11:13.996356,TCP
192.168.2.5,32.98.126.92,2018-05-20 02:12:24.107978,TCP
192.168.2.5,141.132.63.92,2018-05-20 03:20:00.319183,TCP
192.168.2.5,141.21.110.21,2018-05-20 03:20:23.361977,TCP
217.198.241.130,192.168.2.5,2018-05-20 03:21:37.550740,ICMP
192.168.2.5,141.135.138.71,2018-05-20 03:21:44.478254,TCP
12.250.222.186,192.168.2.5,2018-05-20 03:27:54.235646,ICMP
192.168.2.5,200.168.87.203,2018-05-20 03:28:12.678916,TCP
192.168.2.5,141.48.108.124,2018-05-20 03:31:44.389711,TCP
192.168.2.5,141.237.164.183,2018-05-20 03:35:01.681579,TCP
192.168.2.5,141.134.157.158,2018-05-20 03:40:03.138246,TCP
192.168.2.5,200.168.87.203,2018-05-20 03:41:03.411573,TCP
109.239.100.101,192.168.2.5,2018-05-20 03:41:49.506613,ICMP
192.168.2.5,141.68.50.122,2018-05-20 03:42:11.330977,TCP
188.1.236.70,192.168.2.5,2018-05-20 03:43:20.561002,ICMP
141.45.2.145,192.168.2.5,2018-05-20 03:46:53.008327,ICMP
