source,destination,timestamp,protocol
PC1,Server1,2025-01-01 10:00:00,TCP
PC1,Router,2025-01-01 10:00:10,TCP
PC2,PC4,2025-01-01 10:00:30,UDP
PC2,Router,2025-01-01 10:00:40,UDP
PC3,Server1,2025-01-01 10:01:00,TCP
PC3,PC5,2025-01-01 10:01:10,TCP
PC4,Server2,2025-01-01 10:01:20,TCP
PC5,Server2,2025-01-01 10:01:30,UDP
PC6,Server3,2025-01-01 10:01:40,TCP
PC6,Router,2025-01-01 10:01:50,TCP
PC7,PC8,2025-01-01 10:02:00,ICMP
PC7,PC9,2025-01-01 10:02:10,ICMP
PC8,Server3,2025-01-01 10:02:20,TCP
PC9,Server4,2025-01-01 10:02:30,TCP
PC10,Router,2025-01-01 10:02:40,TCP
PC10,Server1,2025-01-01 10:02:50,TCP
PC11,PC12,2025-01-01 10:03:00,UDP
PC11,PC13,2025-01-01 10:03:10,UDP
PC12,Server4,2025-01-01 10:03:20,TCP
PC13,Server5,2025-01-01 10:03:30,ICMP
PC14,Router,2025-01-01 10:03:40,TCP
PC14,Server5,2025-01-01 10:03:50,TCP
PC15,PC16,2025-01-01 10:04:00,UDP
PC15,PC17,2025-01-01 10:04:10,UDP
PC16,Server6,2025-01-01 10:04:20,TCP
PC17,Server6,2025-01-01 10:04:30,TCP
PC18,Server7,2025-01-01 10:04:40,TCP
PC19,Server7,2025-01-01 10:04:50,TCP
PC20,PC1,2025-01-01 10:05:00,ICMP
PC20,PC2,2025-01-01 10:05:10,ICMP
PC21,PC22,2025-01-01 10:05:20,UDP
PC21,Router,2025-01-01 10:05:30,UDP
PC22,Server8,2025-01-01 10:05:40,TCP

